NewsDesk,SectionName,SubsectionName,Headline,Snippet,Abstract,WordCount,PubDate,UniqueID,Weekday,DayofMonth,Time
Culture,,,'Birdman' Tops the Gothams,"The backstage tale won two awards; Citizenfour, the Edward Snowden documentary, was also a winner.","The backstage tale won two awards; Citizenfour, the Edward Snowden documentary, was also a winner.",111,01-12-2014 22:45,6533,2,1,22
Culture,Arts,,'Sleepy Hollow' Recap: A Not-So-Shocking Death,"In the fall season finale, a question of where the series has many places to go.","In the fall season finale, a question of where the series has many places to go.",558,01-12-2014 22:01,6534,2,1,22
Business,Crosswords/Games,,Drinking Buddy For Falstaff,In which Timothy Polin reveals his potty mouth.,In which Timothy Polin reveals his potty mouth.,788,01-12-2014 22:00,6535,2,1,22
Business,Business Day,Dealbook,"Encouraging Public Service, Through Wall Street's 'Revolving Door'",The debate about pay for Wall Street executives who take government jobs appears to be based more on a populist shakedown than on good public policy.,The debate about pay for Wall Street executives who take government jobs appears to be based more on a populist shakedown than on good public policy.,915,01-12-2014 21:04,6536,2,1,21
Science,Health,,Therapy Prevents Repeat Suicide Attempts,Short-term psychotherapy may be an effective way to prevent repeated suicide attempts.,Short-term psychotherapy may be an effective way to prevent repeated suicide attempts.,213,01-12-2014 19:13,6537,2,1,19
Science,Health,,Hoping for a Good Death,What I hadnt considered before my fathers heart attack was the precise meaning of not wanting to live hooked up to machines.,What I hadnt considered before my fathers heart attack was the precise meaning of not wanting to live hooked up to machines.,938,01-12-2014 19:05,6538,2,1,19
OpEd,Opinion,,The Secret Therapist,"Sometimes, being a primary care doctor isnt enough.","Sometimes, being a primary care doctor isnt enough.",1336,01-12-2014 19:00,6539,2,1,19
,Opinion,Room For Debate,The Ethics of Fighting Ebola,How can the development and testing of Ebola drugs and vaccines help fight the outbreak while respecting ethical standards?,How can the development and testing of Ebola drugs and vaccines help fight the outbreak while respecting ethical standards?,2644,01-12-2014 18:22,6540,2,1,18
TStyle,,,Highlights of This Week's Design Miami Show,"A guide to the installations, galleries and emerging talents not to miss at the tenth anniversary of the fair.","A guide to the installations, galleries and emerging talents not to miss at the tenth anniversary of the fair.",752,01-12-2014 18:15,6541,2,1,18
,,,Eminem Invoked at the Supreme Court,"Chief Justice John G. Roberts Jr. is well known for his ability to quote obscure case law, but on Monday he invoked the rapper Eminem at the Supreme Court.","Chief Justice John G. Roberts Jr. is well known for his ability to quote obscure case law, but on Monday he invoked the rapper Eminem at the Supreme Court.",99,01-12-2014 18:04,6542,2,1,18
